cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_victimas,total_civiles,total_combatientes,lesionados_civiles,abandono_despojo,amenaza_intimidacion,ataque_mision_medica,confinamiento,desplazamiento_forzado,extorsion_asociada,pillaje,tortura
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1977,1,0,0,0,0,0,0,0,0,0,0,0,0
18,CAQUETA,18001,FLORENCIA,1978,8,0,0,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,1982,8,0,0,0,6,0,0,0,0,0,0,0,0
17,CALDAS,17001,MANIZALES,1991,6,4,4,0,0,0,1,0,0,0,0,0,0
25,CUNDINAMARCA,25754,SOACHA,1989,11,107,107,0,0,0,0,0,0,0,0,0,0
68,SANTANDER,68001,BUCARAMANGA,1998,12,0,0,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1976,2,0,0,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1978,2,0,0,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1978,2,0,0,0,0,0,0,0,0,0,0,0,0
68,SANTANDER,68001,BUCARAMANGA,1978,5,0,0,0,0,0,0,0,0,0,0,0,0
19,CAUCA,19001,POPAYAN,1978,6,1,0,1,1,0,0,0,0,0,0,0,0
23,CORDOBA,23555,PLANETA RICA,1978,8,1,1,0,50,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1979,5,0,0,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,1979,6,0,0,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76041,ANSERMANUEVO,1981,7,4,4,0,14,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1981,10,1,1,0,1,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1984,4,0,0,0,9,0,0,0,0,0,0,0,0
66,RISARALDA,66170,DOSQUEBRADAS,1985,5,4,4,0,10,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1985,5,0,0,0,0,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1985,9,0,0,0,8,0,0,0,0,0,0,0,0
08,ATLANTICO,08001,BARRANQUILLA,1987,1,13,11,2,25,0,0,0,0,0,0,1,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1987,9,1,1,0,8,0,0,0,0,0,0,0,0
68,SANTANDER,68001,BUCARAMANGA,1989,10,3,3,0,7,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1989,12,63,63,0,600,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1990,6,14,14,0,1,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1992,3,1,1,0,0,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,1992,4,3,0,3,6,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1992,9,9,9,0,8,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1992,12,0,0,0,9,0,0,0,0,0,0,0,0
68,SANTANDER,68081,BARRANCABERMEJA,1993,2,16,16,0,0,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1995,6,23,23,0,99,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1995,7,0,0,0,4,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1995,10,2,2,0,12,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1996,10,1,1,0,4,0,0,0,0,0,0,0,0
23,CORDOBA,23001,MONTERIA,1996,10,0,0,0,11,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1996,12,1,1,0,48,0,0,0,0,0,0,0,0
23,CORDOBA,23001,MONTERIA,1996,12,4,4,0,36,0,0,0,0,0,0,0,0
23,CORDOBA,23001,MONTERIA,1997,3,0,0,0,22,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54001,CUCUTA,1997,3,1,1,0,4,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1997,6,0,0,0,11,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05040,ANORI,1997,7,20,20,0,0,0,0,0,0,0,0,0,0
25,CUNDINAMARCA,25878,VIOTA,1998,2,1,1,0,8,0,0,0,0,0,0,0,0
25,CUNDINAMARCA,25878,VIOTA,1998,2,1,1,0,10,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1998,2,4,4,0,5,0,0,0,0,0,0,0,0
44,LA GUAJIRA,44001,RIOHACHA,1998,4,1,1,0,6,0,0,0,0,0,0,0,0
70,SUCRE,70713,SAN ONOFRE,1998,9,4,4,0,0,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1999,2,0,0,0,9,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1999,7,9,7,2,28,0,0,0,0,0,0,0,0
23,CORDOBA,23001,MONTERIA,1999,8,0,0,0,11,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,1999,12,0,0,0,1,0,0,0,0,0,0,0,0
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1999,12,6,6,0,24,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",1999,12,0,0,0,2,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2000,1,1,1,0,8,0,0,0,0,0,0,0,0
25,CUNDINAMARCA,25307,GIRARDOT,2000,3,1,0,1,23,0,0,0,0,0,0,0,0
25,CUNDINAMARCA,25123,CACHIPAY,2000,3,3,3,0,13,0,0,0,0,0,0,0,0
25,CUNDINAMARCA,25123,CACHIPAY,2000,3,3,3,0,19,0,1,0,0,0,1,0,0
68,SANTANDER,68081,BARRANCABERMEJA,2000,10,2,2,0,9,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,2000,11,1,1,0,6,0,0,0,0,0,0,0,0
86,PUTUMAYO,86568,PUERTO ASIS,2000,11,2,1,0,12,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05313,GRANADA,2000,12,28,22,0,25,0,1,0,0,0,0,0,0
05,ANTIOQUIA,05652,SAN FRANCISCO,2001,8,3,3,0,36,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05440,MARINILLA,2001,8,1,1,0,26,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05667,SAN RAFAEL,2001,10,3,3,0,8,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05541,PEÑOL,2001,10,6,5,1,1,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2002,1,6,2,4,28,0,0,0,0,0,0,0,0
50,META,50577,PUERTO LLERAS,2002,3,6,3,3,8,0,0,0,0,0,0,0,0
95,GUAVIARE,95015,CALAMAR,2002,3,4,4,0,0,0,0,0,0,0,0,0,0
99,VICHADA,99001,PUERTO CARREÑO,2002,3,6,0,6,21,0,0,0,0,0,0,0,0
50,META,50287,FUENTE DE ORO,2002,4,0,0,0,0,0,0,0,0,0,0,0,0
50,META,50001,VILLAVICENCIO,2002,4,10,10,0,70,0,0,0,0,0,0,0,0
08,ATLANTICO,08001,BARRANQUILLA,2002,4,4,4,0,13,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76364,JAMUNDI,2002,4,3,3,0,2,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05390,LA PINTADA,2002,5,1,1,0,11,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05390,LA PINTADA,2002,5,1,1,0,11,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05172,CHIGORODO,2002,6,9,8,1,24,0,0,0,0,0,0,0,0
19,CAUCA,19455,MIRANDA,2002,7,1,1,0,6,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05315,GUADALUPE,2002,7,0,0,0,10,0,0,0,0,0,0,0,0
25,CUNDINAMARCA,25662,SAN JUAN DE RIOSECO,2002,7,3,0,3,5,0,0,0,0,0,0,0,0
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,2002,7,0,0,0,3,0,0,1,0,0,0,0,0
81,ARAUCA,81794,TAME,2002,8,0,0,0,6,0,0,0,0,0,0,0,0
66,RISARALDA,66170,DOSQUEBRADAS,2002,9,2,1,1,16,0,0,0,0,0,0,0,0
81,ARAUCA,81736,SARAVENA,2002,9,4,4,0,23,0,0,0,0,0,0,0,0
81,ARAUCA,81065,ARAUQUITA,2002,9,1,1,0,6,0,0,0,0,0,0,0,0
13,BOLIVAR,13244,EL CARMEN DE BOLIVAR,2002,10,0,0,0,5,0,0,0,0,0,0,0,0
25,CUNDINAMARCA,25312,GRANADA,2002,10,0,0,0,10,0,0,0,0,0,0,0,0
81,ARAUCA,81001,ARAUCA,2002,10,2,0,2,7,0,0,0,0,0,0,0,0
08,ATLANTICO,08001,BARRANQUILLA,2002,10,0,0,0,33,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54001,CUCUTA,2002,11,0,0,0,3,0,0,0,0,0,0,0,0
25,CUNDINAMARCA,25224,CUCUNUBA,2002,11,0,0,0,4,0,0,0,0,0,0,0,0
47,MAGDALENA,47001,SANTA MARTA,2002,11,2,2,0,6,0,0,0,0,0,0,0,0
41,HUILA,41001,NEIVA,2002,12,1,1,0,21,0,0,0,0,0,0,0,0
81,ARAUCA,81300,FORTUL,2003,1,4,4,0,14,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05001,MEDELLIN,2003,1,5,5,0,27,0,0,0,0,0,0,0,0
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,2003,1,0,0,0,6,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2003,2,36,36,0,200,0,0,0,0,0,0,0,0
54,NORTE DE SANTANDER,54001,CUCUTA,2003,3,13,13,0,70,0,0,0,0,0,0,0,0
95,GUAVIARE,95015,CALAMAR,2003,5,1,1,0,3,0,0,0,0,0,0,0,0
41,HUILA,41359,ISNOS,2003,7,1,0,1,9,0,0,0,0,0,0,0,0
18,CAQUETA,18256,EL PAUJIL,2003,7,0,0,0,17,0,0,0,0,0,0,0,0
18,CAQUETA,18256,EL PAUJIL,2003,7,1,1,0,3,0,0,0,0,0,0,0,0
81,ARAUCA,81001,ARAUCA,2003,7,0,0,0,0,0,0,0,0,0,0,0,0
15,BOYACA,15757,SOCHA,2003,7,0,0,0,15,0,0,0,0,0,0,0,0
50,META,50689,SAN MARTIN,2003,8,1,1,0,20,0,0,0,0,0,0,0,0
50,META,50590,PUERTO RICO,2003,8,5,0,0,39,0,0,0,0,0,0,0,0
15,BOYACA,15183,CHITA,2003,9,9,8,0,15,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2003,10,6,4,2,19,0,0,0,0,0,0,0,0
81,ARAUCA,81736,SARAVENA,2003,10,0,0,0,5,0,0,0,0,0,0,0,0
81,ARAUCA,81300,FORTUL,2003,10,1,1,0,4,0,0,0,0,0,0,0,0
81,ARAUCA,81300,FORTUL,2003,10,2,2,0,3,0,0,0,0,0,0,0,0
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,2003,10,2,2,0,13,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05887,YARUMAL,2003,10,7,7,0,12,0,0,0,0,0,1,0,0
05,ANTIOQUIA,05887,YARUMAL,2003,10,5,5,0,11,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05361,ITUANGO,2003,11,0,0,0,9,0,0,0,0,0,0,0,0
81,ARAUCA,81794,TAME,2003,11,1,1,0,3,0,0,0,0,0,0,0,0
81,ARAUCA,81794,TAME,2003,11,2,2,0,4,0,0,0,0,0,0,0,0
08,ATLANTICO,08001,BARRANQUILLA,2003,12,1,1,0,73,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2004,5,0,0,0,11,0,0,0,0,0,0,0,0
81,ARAUCA,81794,TAME,2004,5,2,2,0,37,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05667,SAN RAFAEL,2004,5,1,1,0,14,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05649,SAN CARLOS,2004,5,3,3,0,14,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05045,APARTADO,2004,5,7,7,0,26,0,0,0,0,0,0,0,0
81,ARAUCA,81736,SARAVENA,2005,5,0,0,0,0,0,0,0,0,0,0,0,0
81,ARAUCA,81001,ARAUCA,2005,8,1,1,0,26,0,0,0,0,0,0,0,0
18,CAQUETA,18001,FLORENCIA,2005,11,1,1,0,36,0,0,1,0,0,0,0,0
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,2006,3,4,3,1,7,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2006,4,3,3,0,22,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,2006,8,7,1,6,9,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,2006,8,1,1,0,13,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2006,10,0,0,0,20,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,2007,1,6,4,2,14,0,0,0,0,0,0,0,0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,2007,2,1,1,0,8,0,0,0,0,0,0,0,0
41,HUILA,41001,NEIVA,2007,3,0,0,0,10,0,0,0,0,0,0,0,0
86,PUTUMAYO,86568,PUERTO ASIS,2007,10,2,2,0,7,0,0,0,0,0,0,0,0
11,"BOGOTA, D. C.",11001,"BOGOTA, D.C.",2008,6,1,1,0,1,0,1,0,0,0,1,0,0
05,ANTIOQUIA,05361,ITUANGO,2008,8,7,7,0,51,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05667,SAN RAFAEL,2008,8,1,1,0,0,0,0,0,0,0,0,0,0
05,ANTIOQUIA,05667,SAN RAFAEL,2008,12,0,0,0,11,0,0,0,0,0,0,0,0
