cod_dpto,dpto_nombre,ano,pib_total_miles_millones
05,Antioquia,2005,51006.840000000004
05,Antioquia,2006,57285.04
05,Antioquia,2007,64513.57
05,Antioquia,2008,68424.94
05,Antioquia,2009,71308.82
05,Antioquia,2010,75981.87
05,Antioquia,2011,85578.13
05,Antioquia,2012,92318.05
05,Antioquia,2013,98572.84
05,Antioquia,2014,106818.95999999999
05,Antioquia,2015,115446.24
05,Antioquia,2016,126021.66
05,Antioquia,2017,132368.59
05,Antioquia,2018,141680.06
05,Antioquia,2019,153559.41999999998
05,Antioquia,2020,148361.9
05,Antioquia,2021,177866.55
05,Antioquia,2022,212452.55
05,Antioquia,2023,231052.38
08,Atlántico,2005,13506.76
08,Atlántico,2006,15431.79
08,Atlántico,2007,18052.02
08,Atlántico,2008,19527.15
08,Atlántico,2009,20809.21
08,Atlántico,2010,21443.24
08,Atlántico,2011,23549.4
08,Atlántico,2012,26444.97
08,Atlántico,2013,29112.440000000002
08,Atlántico,2014,32382.67
08,Atlántico,2015,35716.29
08,Atlántico,2016,38575.33
08,Atlántico,2017,40874.79
08,Atlántico,2018,43368.87
08,Atlántico,2019,46574.76
08,Atlántico,2020,44832.66
08,Atlántico,2021,52771.07
08,Atlántico,2022,63696.44
08,Atlántico,2023,70200.98
11,Bogotá D.C.,2005,89831.77
11,Bogotá D.C.,2006,100461.79
11,Bogotá D.C.,2007,112440.5
11,Bogotá D.C.,2008,122100.66
11,Bogotá D.C.,2009,130672.44
11,Bogotá D.C.,2010,139740.4
11,Bogotá D.C.,2011,152691.36
11,Bogotá D.C.,2012,164542.16
11,Bogotá D.C.,2013,177360.96000000002
11,Bogotá D.C.,2014,191025.61000000002
11,Bogotá D.C.,2015,206478.4
11,Bogotá D.C.,2016,221455.57
11,Bogotá D.C.,2017,236785.89
11,Bogotá D.C.,2018,253941.03
11,Bogotá D.C.,2019,273524.36
11,Bogotá D.C.,2020,260747.48
11,Bogotá D.C.,2021,303094.42
11,Bogotá D.C.,2022,361698.07
11,Bogotá D.C.,2023,393236.75
13,Bolívar,2005,11169.05
13,Bolívar,2006,12844.8
13,Bolívar,2007,14687.67
13,Bolívar,2008,16047.69
13,Bolívar,2009,16432.33
13,Bolívar,2010,18362.99
13,Bolívar,2011,21488.99
13,Bolívar,2012,23078.329999999998
13,Bolívar,2013,25858.71
13,Bolívar,2014,26623.45
13,Bolívar,2015,28105.2
13,Bolívar,2016,30917.86
13,Bolívar,2017,33393.78
13,Bolívar,2018,35410.29
13,Bolívar,2019,38285.29
13,Bolívar,2020,34625.96
13,Bolívar,2021,42255.58
13,Bolívar,2022,51643.18
13,Bolívar,2023,56626.16
15,Boyacá,2005,8225.99
15,Boyacá,2006,9215.01
15,Boyacá,2007,10950.75
15,Boyacá,2008,12771.14
15,Boyacá,2009,13261.2
15,Boyacá,2010,14474.54
15,Boyacá,2011,17260.03
15,Boyacá,2012,18313.94
15,Boyacá,2013,19380.07
15,Boyacá,2014,20839.48
15,Boyacá,2015,22164.690000000002
15,Boyacá,2016,23671.13
15,Boyacá,2017,24782.27
15,Boyacá,2018,26884.21
15,Boyacá,2019,28573.54
15,Boyacá,2020,26480.06
15,Boyacá,2021,31184.02
15,Boyacá,2022,39233.5
15,Boyacá,2023,41792.520000000004
17,Caldas,2005,6015.35
17,Caldas,2006,6888.0599999999995
17,Caldas,2007,7609.47
17,Caldas,2008,8181.24
17,Caldas,2009,8363.56
17,Caldas,2010,8821.98
17,Caldas,2011,9343.09
17,Caldas,2012,9748.24
17,Caldas,2013,10497.86
17,Caldas,2014,11518.61
17,Caldas,2015,12513.5
17,Caldas,2016,13798.3
17,Caldas,2017,14749.49
17,Caldas,2018,15710.82
17,Caldas,2019,17012.45
17,Caldas,2020,16674.1
17,Caldas,2021,19576.75
17,Caldas,2022,23909.82
17,Caldas,2023,25947.81
18,Caquetá,2005,1253.97
18,Caquetá,2006,1365.0
18,Caquetá,2007,1559.85
18,Caquetá,2008,1746.3400000000001
18,Caquetá,2009,1904.38
18,Caquetá,2010,1972.13
18,Caquetá,2011,2165.8
18,Caquetá,2012,2554.28
18,Caquetá,2013,2835.6
18,Caquetá,2014,3175.17
18,Caquetá,2015,3349.8900000000003
18,Caquetá,2016,3665.7000000000003
18,Caquetá,2017,3866.2799999999997
18,Caquetá,2018,4071.61
18,Caquetá,2019,4313.45
18,Caquetá,2020,4170.63
18,Caquetá,2021,4778.21
18,Caquetá,2022,5569.98
18,Caquetá,2023,6178.98
19,Cauca,2005,5058.57
19,Cauca,2006,5721.860000000001
19,Cauca,2007,6282.34
19,Cauca,2008,7086.33
19,Cauca,2009,7646.26
19,Cauca,2010,8503.39
19,Cauca,2011,9289.7
19,Cauca,2012,10373.36
19,Cauca,2013,11624.41
19,Cauca,2014,13085.77
19,Cauca,2015,14622.05
19,Cauca,2016,16070.01
19,Cauca,2017,16738.91
19,Cauca,2018,17478.96
19,Cauca,2019,18755.35
19,Cauca,2020,18193.67
19,Cauca,2021,21380.02
19,Cauca,2022,26113.46
19,Cauca,2023,28314.07
20,Cesar,2005,6461.6900000000005
20,Cesar,2006,7402.76
20,Cesar,2007,7971.24
20,Cesar,2008,9789.4
20,Cesar,2009,10334.880000000001
20,Cesar,2010,10890.94
20,Cesar,2011,13247.49
20,Cesar,2012,13975.25
20,Cesar,2013,13383.02
20,Cesar,2014,13653.58
20,Cesar,2015,14570.41
20,Cesar,2016,16992.09
20,Cesar,2017,19550.6
20,Cesar,2018,21262.81
20,Cesar,2019,20724.55
20,Cesar,2020,17710.49
20,Cesar,2021,23302.54
20,Cesar,2022,38282.47
20,Cesar,2023,32873.18
23,Córdoba,2005,6023.1900000000005
23,Córdoba,2006,6803.01
23,Córdoba,2007,8192.77
23,Córdoba,2008,8202.44
23,Córdoba,2009,8472.99
23,Córdoba,2010,9010.53
23,Córdoba,2011,9757.82
23,Córdoba,2012,10779.27
23,Córdoba,2013,11696.57
23,Córdoba,2014,12912.71
23,Córdoba,2015,13656.54
23,Córdoba,2016,14661.57
23,Córdoba,2017,15792.57
23,Córdoba,2018,16800.14
23,Córdoba,2019,18278.7
23,Córdoba,2020,17892.89
23,Córdoba,2021,21120.86
23,Córdoba,2022,25603.18
23,Córdoba,2023,27752.19
25,Cundinamarca,2005,19546.13
25,Cundinamarca,2006,21386.54
25,Cundinamarca,2007,24213.559999999998
25,Cundinamarca,2008,27379.26
25,Cundinamarca,2009,29326.79
25,Cundinamarca,2010,31675.620000000003
25,Cundinamarca,2011,35465.01
25,Cundinamarca,2012,38213.810000000005
25,Cundinamarca,2013,40742.21
25,Cundinamarca,2014,43758.94
25,Cundinamarca,2015,48055.119999999995
25,Cundinamarca,2016,53515.869999999995
25,Cundinamarca,2017,55731.05
25,Cundinamarca,2018,59084.77
25,Cundinamarca,2019,63112.2
25,Cundinamarca,2020,61314.82
25,Cundinamarca,2021,73399.59
25,Cundinamarca,2022,91648.25
25,Cundinamarca,2023,99387.91
27,Chocó,2005,1232.4
27,Chocó,2006,1373.87
27,Chocó,2007,1490.39
27,Chocó,2008,1672.22
27,Chocó,2009,2103.77
27,Chocó,2010,2902.5
27,Chocó,2011,3652.43
27,Chocó,2012,3555.14
27,Chocó,2013,3080.42
27,Chocó,2014,3145.17
27,Chocó,2015,3570.63
27,Chocó,2016,4221.65
27,Chocó,2017,3957.63
27,Chocó,2018,3777.1200000000003
27,Chocó,2019,4167.58
27,Chocó,2020,4489.38
27,Chocó,2021,5197.91
27,Chocó,2022,6094.58
27,Chocó,2023,6796.77
41,Huila,2005,6075.57
41,Huila,2006,6576.91
41,Huila,2007,7186.91
41,Huila,2008,8491.34
41,Huila,2009,8587.1
41,Huila,2010,9561.72
41,Huila,2011,11262.87
41,Huila,2012,11689.54
41,Huila,2013,12413.57
41,Huila,2014,13383.470000000001
41,Huila,2015,13805.33
41,Huila,2016,14693.32
41,Huila,2017,15222.34
41,Huila,2018,15989.26
41,Huila,2019,17197.91
41,Huila,2020,16652.95
41,Huila,2021,19731.56
41,Huila,2022,24459.54
41,Huila,2023,26369.83
44,La Guajira,2005,4199.280000000001
44,La Guajira,2006,4758.82
44,La Guajira,2007,4961.1900000000005
44,La Guajira,2008,6488.159999999999
44,La Guajira,2009,6792.34
44,La Guajira,2010,6930.99
44,La Guajira,2011,8080.17
44,La Guajira,2012,8473.41
44,La Guajira,2013,8187.83
44,La Guajira,2014,8360.96
44,La Guajira,2015,8665.81
44,La Guajira,2016,9442.26
44,La Guajira,2017,10784.59
44,La Guajira,2018,11881.880000000001
44,La Guajira,2019,11225.07
44,La Guajira,2020,8708.8
44,La Guajira,2021,14472.69
44,La Guajira,2022,22271.65
44,La Guajira,2023,19594.739999999998
47,Magdalena,2005,4323.07
47,Magdalena,2006,4690.68
47,Magdalena,2007,5238.7699999999995
47,Magdalena,2008,6100.400000000001
47,Magdalena,2009,6856.889999999999
47,Magdalena,2010,7269.82
47,Magdalena,2011,7761.41
47,Magdalena,2012,8479.97
47,Magdalena,2013,9319.13
47,Magdalena,2014,9549.75
47,Magdalena,2015,10513.56
47,Magdalena,2016,11691.74
47,Magdalena,2017,12422.28
47,Magdalena,2018,13233.31
47,Magdalena,2019,14147.66
47,Magdalena,2020,13840.779999999999
47,Magdalena,2021,16344.380000000001
47,Magdalena,2022,20001.86
47,Magdalena,2023,21790.65
50,Meta,2005,7952.54
50,Meta,2006,9656.13
50,Meta,2007,10623.29
50,Meta,2008,15252.7
50,Meta,2009,16835.92
50,Meta,2010,23608.05
50,Meta,2011,35741.21
50,Meta,2012,39465.58
50,Meta,2013,42213.63
50,Meta,2014,37363.54
50,Meta,2015,30712.16
50,Meta,2016,26335.38
50,Meta,2017,30238.6
50,Meta,2018,35330.909999999996
50,Meta,2019,38495.84
50,Meta,2020,30525.11
50,Meta,2021,40272.8
50,Meta,2022,55686.090000000004
50,Meta,2023,53708.17999999999
52,Nariño,2005,5169.179999999999
52,Nariño,2006,5989.05
52,Nariño,2007,6516.679999999999
52,Nariño,2008,6915.349999999999
52,Nariño,2009,7417.99
52,Nariño,2010,7703.599999999999
52,Nariño,2011,8552.75
52,Nariño,2012,9342.67
52,Nariño,2013,10148.92
52,Nariño,2014,10991.23
52,Nariño,2015,12229.73
52,Nariño,2016,13892.98
52,Nariño,2017,14061.82
52,Nariño,2018,14834.91
52,Nariño,2019,15907.41
52,Nariño,2020,15702.34
52,Nariño,2021,18236.89
52,Nariño,2022,21560.25
52,Nariño,2023,23329.88
54,Norte de Santander,2005,5098.2
54,Norte de Santander,2006,5987.28
54,Norte de Santander,2007,6756.34
54,Norte de Santander,2008,7712.41
54,Norte de Santander,2009,8301.87
54,Norte de Santander,2010,8697.73
54,Norte de Santander,2011,9408.130000000001
54,Norte de Santander,2012,9896.69
54,Norte de Santander,2013,10747.05
54,Norte de Santander,2014,11642.73
54,Norte de Santander,2015,12534.0
54,Norte de Santander,2016,13810.53
54,Norte de Santander,2017,14445.51
54,Norte de Santander,2018,15442.69
54,Norte de Santander,2019,16288.63
54,Norte de Santander,2020,15813.9
54,Norte de Santander,2021,18600.64
54,Norte de Santander,2022,23222.41
54,Norte de Santander,2023,24967.43
63,Quindío,2005,2749.62
63,Quindío,2006,3255.14
63,Quindío,2007,3549.38
63,Quindío,2008,3834.18
63,Quindío,2009,4018.18
63,Quindío,2010,4280.83
63,Quindío,2011,4767.02
63,Quindío,2012,5242.26
63,Quindío,2013,5460.36
63,Quindío,2014,5720.36
63,Quindío,2015,6380.69
63,Quindío,2016,7133.13
63,Quindío,2017,7633.45
63,Quindío,2018,7950.51
63,Quindío,2019,8532.68
63,Quindío,2020,8274.91
63,Quindío,2021,9866.04
63,Quindío,2022,12119.95
63,Quindío,2023,13156.7
66,Risaralda,2005,5511.53
66,Risaralda,2006,6342.33
66,Risaralda,2007,6851.81
66,Risaralda,2008,7438.1900000000005
66,Risaralda,2009,7969.28
66,Risaralda,2010,8420.29
66,Risaralda,2011,8979.67
66,Risaralda,2012,9629.12
66,Risaralda,2013,10612.89
66,Risaralda,2014,11727.87
66,Risaralda,2015,12655.74
66,Risaralda,2016,13890.51
66,Risaralda,2017,14922.390000000001
66,Risaralda,2018,15876.72
66,Risaralda,2019,17078.04
66,Risaralda,2020,16410.23
66,Risaralda,2021,19413.28
66,Risaralda,2022,23873.93
66,Risaralda,2023,26193.17
68,Santander,2005,18732.75
68,Santander,2006,21572.05
68,Santander,2007,24619.75
68,Santander,2008,28389.1
68,Santander,2009,28494.32
68,Santander,2010,32726.18
68,Santander,2011,37783.84
68,Santander,2012,40282.54
68,Santander,2013,43409.33
68,Santander,2014,50858.41
68,Santander,2015,51999.24
68,Santander,2016,55182.21
68,Santander,2017,59462.53
68,Santander,2018,63776.08
68,Santander,2019,69123.53
68,Santander,2020,61639.03
68,Santander,2021,75256.58
68,Santander,2022,93466.91
68,Santander,2023,101104.55
70,Sucre,2005,2386.35
70,Sucre,2006,2758.3
70,Sucre,2007,3161.07
70,Sucre,2008,3485.84
70,Sucre,2009,3878.96
70,Sucre,2010,4011.24
70,Sucre,2011,4472.58
70,Sucre,2012,4994.45
70,Sucre,2013,5480.3099999999995
70,Sucre,2014,6088.77
70,Sucre,2015,6577.32
70,Sucre,2016,7186.34
70,Sucre,2017,7702.09
70,Sucre,2018,8122.93
70,Sucre,2019,8696.65
70,Sucre,2020,8457.47
70,Sucre,2021,9794.199999999999
70,Sucre,2022,11474.6
70,Sucre,2023,12567.800000000001
73,Tolima,2005,7701.88
73,Tolima,2006,8762.61
73,Tolima,2007,10046.53
73,Tolima,2008,11345.16
73,Tolima,2009,11432.06
73,Tolima,2010,11964.99
73,Tolima,2011,13517.53
73,Tolima,2012,14387.01
73,Tolima,2013,15274.91
73,Tolima,2014,16560.25
73,Tolima,2015,17380.84
73,Tolima,2016,18863.11
73,Tolima,2017,19988.03
73,Tolima,2018,21002.239999999998
73,Tolima,2019,22526.059999999998
73,Tolima,2020,21417.45
73,Tolima,2021,25153.97
73,Tolima,2022,30958.55
73,Tolima,2023,33408.97
76,Valle del Cauca,2005,34638.55
76,Valle del Cauca,2006,39675.02
76,Valle del Cauca,2007,45059.07
76,Valle del Cauca,2008,48319.48
76,Valle del Cauca,2009,51607.0
76,Valle del Cauca,2010,54213.020000000004
76,Valle del Cauca,2011,58464.86
76,Valle del Cauca,2012,62545.18
76,Valle del Cauca,2013,66718.92
76,Valle del Cauca,2014,72278.81
76,Valle del Cauca,2015,78074.27
76,Valle del Cauca,2016,85102.01
76,Valle del Cauca,2017,89765.77
76,Valle del Cauca,2018,95893.7
76,Valle del Cauca,2019,103173.48
76,Valle del Cauca,2020,100115.42
76,Valle del Cauca,2021,116555.33
76,Valle del Cauca,2022,140900.22
76,Valle del Cauca,2023,152478.77
81,Arauca,2005,3555.26
81,Arauca,2006,4048.0699999999997
81,Arauca,2007,4450.91
81,Arauca,2008,5837.079999999999
81,Arauca,2009,5062.35
81,Arauca,2010,5216.7
81,Arauca,2011,6170.83
81,Arauca,2012,5983.54
81,Arauca,2013,5673.99
81,Arauca,2014,5009.87
81,Arauca,2015,4534.09
81,Arauca,2016,4151.5199999999995
81,Arauca,2017,4366.77
81,Arauca,2018,5091.16
81,Arauca,2019,5618.900000000001
81,Arauca,2020,5129.92
81,Arauca,2021,6673.599999999999
81,Arauca,2022,8895.79
81,Arauca,2023,8580.07
85,Casanare,2005,7841.719999999999
85,Casanare,2006,8269.52
85,Casanare,2007,8009.120000000001
85,Casanare,2008,9909.81
85,Casanare,2009,9165.23
85,Casanare,2010,10453.87
85,Casanare,2011,14433.359999999999
85,Casanare,2012,15729.47
85,Casanare,2013,16781.11
85,Casanare,2014,16687.95
85,Casanare,2015,13304.99
85,Casanare,2016,11667.45
85,Casanare,2017,13145.42
85,Casanare,2018,15507.12
85,Casanare,2019,16464.67
85,Casanare,2020,12620.25
85,Casanare,2021,16919.97
85,Casanare,2022,23177.41
85,Casanare,2023,22521.739999999998
86,Putumayo,2005,1115.75
86,Putumayo,2006,1330.8899999999999
86,Putumayo,2007,1565.86
86,Putumayo,2008,2025.1200000000001
86,Putumayo,2009,2292.41
86,Putumayo,2010,2885.9100000000003
86,Putumayo,2011,3637.41
86,Putumayo,2012,3735.8
86,Putumayo,2013,4497.28
86,Putumayo,2014,4485.35
86,Putumayo,2015,3481.45
86,Putumayo,2016,3298.0
86,Putumayo,2017,3613.03
86,Putumayo,2018,4033.39
86,Putumayo,2019,4048.89
86,Putumayo,2020,3360.56
86,Putumayo,2021,4272.2699999999995
86,Putumayo,2022,5658.46
86,Putumayo,2023,5794.7300000000005
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2005,489.29
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2006,560.6800000000001
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2007,655.23
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2008,688.5799999999999
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2009,753.1800000000001
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2010,785.31
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2011,857.41
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2012,933.95
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2013,1046.38
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2014,1144.48
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2015,1253.03
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2016,1340.52
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2017,1438.58
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2018,1531.1100000000001
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2019,1639.46
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2020,1350.23
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2021,1701.27
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2022,2067.72
88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2023,2253.4500000000003
91,Amazonas,2005,228.25
91,Amazonas,2006,253.46
91,Amazonas,2007,278.29
91,Amazonas,2008,304.23
91,Amazonas,2009,336.17
91,Amazonas,2010,368.99
91,Amazonas,2011,402.09
91,Amazonas,2012,437.51
91,Amazonas,2013,475.95
91,Amazonas,2014,531.66
91,Amazonas,2015,593.36
91,Amazonas,2016,660.61
91,Amazonas,2017,710.14
91,Amazonas,2018,759.19
91,Amazonas,2019,808.19
91,Amazonas,2020,776.89
91,Amazonas,2021,909.5
91,Amazonas,2022,1069.8
91,Amazonas,2023,1190.59
94,Guainía,2005,127.04
94,Guainía,2006,148.42
94,Guainía,2007,150.58
94,Guainía,2008,166.48000000000002
94,Guainía,2009,180.35999999999999
94,Guainía,2010,196.36
94,Guainía,2011,206.49
94,Guainía,2012,231.77
94,Guainía,2013,257.76
94,Guainía,2014,274.78000000000003
94,Guainía,2015,307.3
94,Guainía,2016,331.83
94,Guainía,2017,338.53
94,Guainía,2018,363.55
94,Guainía,2019,389.76
94,Guainía,2020,374.19
94,Guainía,2021,442.81
94,Guainía,2022,498.03000000000003
94,Guainía,2023,556.3
95,Guaviare,2005,348.87
95,Guaviare,2006,374.74
95,Guaviare,2007,420.69
95,Guaviare,2008,441.95
95,Guaviare,2009,450.32
95,Guaviare,2010,471.53
95,Guaviare,2011,483.92999999999995
95,Guaviare,2012,530.22
95,Guaviare,2013,571.99
95,Guaviare,2014,619.96
95,Guaviare,2015,677.38
95,Guaviare,2016,717.74
95,Guaviare,2017,757.75
95,Guaviare,2018,783.34
95,Guaviare,2019,832.39
95,Guaviare,2020,826.1600000000001
95,Guaviare,2021,953.85
95,Guaviare,2022,1142.3400000000001
95,Guaviare,2023,1251.6299999999999
97,Vaupés,2005,79.76
97,Vaupés,2006,85.35
97,Vaupés,2007,103.66
97,Vaupés,2008,112.5
97,Vaupés,2009,123.48
97,Vaupés,2010,129.99
97,Vaupés,2011,149.21
97,Vaupés,2012,164.06
97,Vaupés,2013,190.11
97,Vaupés,2014,217.64
97,Vaupés,2015,233.44
97,Vaupés,2016,250.58
97,Vaupés,2017,263.08
97,Vaupés,2018,281.38
97,Vaupés,2019,303.07
97,Vaupés,2020,293.61
97,Vaupés,2021,332.67
97,Vaupés,2022,375.76
97,Vaupés,2023,420.28000000000003
99,Vichada,2005,301.84
99,Vichada,2006,329.03000000000003
99,Vichada,2007,336.79999999999995
99,Vichada,2008,367.17
99,Vichada,2009,381.92
99,Vichada,2010,382.73
99,Vichada,2011,401.03999999999996
99,Vichada,2012,435.42
99,Vichada,2013,466.55
99,Vichada,2014,465.0
99,Vichada,2015,529.24
99,Vichada,2016,573.53
99,Vichada,2017,596.52
99,Vichada,2018,634.89
99,Vichada,2019,688.09
99,Vichada,2020,686.7
99,Vichada,2021,802.1899999999999
99,Vichada,2022,964.35
99,Vichada,2023,1059.16
